I,f0,Ql,Qi,Qc,phi,delay,npoints
-0.66,5444620114.720506,117.21707514244463,324.3786837800385,183.54134630113134,-0.3145251255734282,,901
-0.65,5445307601.215365,115.13285943685183,324.21287447836806,178.532392479136,-0.3363424915077009,,901
-0.64,5444605067.088689,116.52617379947526,320.4064229861638,183.12580389857388,-0.326069882599414,,901
-0.63,5444654078.258198,111.70575527845985,312.0031891012801,174.0039860853964,-0.32611542244915903,,901
-0.62,5444125333.714486,118.03585581308617,341.6177007532968,180.35067954688904,-0.3068322788672129,,901
-0.6100000000000001,5446021955.894258,113.32612576943872,306.0586520910901,179.96153509561165,-0.36279874770716125,,901
-0.6000000000000001,5445638561.487799,114.61094817435404,313.1914892880771,180.75876592001086,-0.3838350679477274,,901
-0.5900000000000001,5446430064.562061,112.00916039154384,303.6666063135722,177.46997226484137,-0.37894340157640904,,901
-0.5800000000000001,5445228231.653614,117.85708718542139,328.8136963755379,183.70140016124256,-0.357123485130066,,901
-0.57,5442733727.804572,122.08652547317469,368.17448829117836,182.6547854214897,-0.27522328898340037,,901
-0.5599999999999999,5443473626.026005,117.36938737391162,327.74224919630535,182.85108959155454,-0.30187266975294924,,901
-0.55,5441257578.551789,123.16244134150222,362.76471846730016,186.4714680300709,-0.22686601260700776,,901
-0.54,5443320211.6067705,123.3390778239906,369.2500921564307,185.2010003562893,-0.29636847532293786,,901
-0.53,5444570206.819474,115.58836058446794,328.689671274885,178.2846859112262,-0.33160563207605537,,901
-0.5200000000000001,5432756502.817518,121.76263514145622,364.5843113375782,182.8203609130905,0.07871377988640282,,901
-0.5100000000000001,5441994518.05199,117.51961306349257,346.1961246846033,177.91435739768957,-0.2524318288377211,,901
-0.5,5442098375.240129,118.8738736629412,353.36513355071156,179.13623843677595,-0.2592249810273327,,901
-0.49,5444593390.542894,118.97891864028111,338.3136013083118,183.51947788341786,-0.366111029329296,,901
-0.48,5444811066.635352,111.92056093410692,311.1171766958948,174.8042194335304,-0.3728255852885054,,901
-0.47000000000000003,5443944484.831218,113.93166257170654,320.94530030554586,176.63489255427572,-0.3492160438099423,,901
-0.46,5443952570.221994,115.15970291799911,324.8724632509971,178.39742462412602,-0.36489882287870634,,901
-0.44999999999999996,5432310226.460378,120.19015869375443,355.4448308594854,181.59456828037148,0.040841481878286366,,901
-0.43999999999999995,5431104642.018092,124.85565576817645,368.886825759976,188.73657220120927,0.08701755291142158,,901
-0.42999999999999994,5443890704.920923,111.96443378168003,300.22646177427794,178.55265959504,-0.38878175020583605,,901
-0.42,5442977575.362248,116.45824286348848,326.2083721237837,181.11861937281822,-0.36502521718157516,,901
-0.4100000000000001,5443384916.361978,114.10898632755337,320.77141495991367,177.1144433275051,-0.35930358378009764,,901
-0.4000000000000001,5443415430.017478,113.5480314028209,318.21527019061983,176.54372876904057,-0.3830694021172851,,901
